2025-06-15 07:23:35 | INFO | LocalBooks API 服务启动中...
2025-06-15 07:23:35 | INFO | LocalBooks API 服务启动中...
2025-06-15 07:23:35 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 07:23:35 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 07:23:35 | INFO | 数据库初始化完成
2025-06-15 07:23:35 | INFO | 数据库初始化完成
2025-06-15 09:59:26 | INFO | LocalBooks API 服务关闭中...
2025-06-15 09:59:26 | INFO | LocalBooks API 服务关闭中...
2025-06-15 09:59:31 | INFO | LocalBooks API 服务启动中...
2025-06-15 09:59:31 | INFO | LocalBooks API 服务启动中...
2025-06-15 09:59:31 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 09:59:31 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 09:59:31 | INFO | 数据库初始化完成
2025-06-15 09:59:31 | INFO | 数据库初始化完成
2025-06-15 09:59:41 | INFO | LocalBooks API 服务关闭中...
2025-06-15 09:59:41 | INFO | LocalBooks API 服务关闭中...
2025-06-15 09:59:47 | INFO | LocalBooks API 服务启动中...
2025-06-15 09:59:47 | INFO | LocalBooks API 服务启动中...
2025-06-15 09:59:47 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 09:59:47 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 09:59:47 | INFO | 数据库初始化完成
2025-06-15 09:59:47 | INFO | 数据库初始化完成
2025-06-15 11:29:24 | INFO | LocalBooks API 服务启动中...
2025-06-15 11:29:24 | INFO | LocalBooks API 服务启动中...
2025-06-15 11:29:24 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 11:29:24 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 11:29:24 | INFO | 数据库初始化完成
2025-06-15 11:29:24 | INFO | 数据库初始化完成
2025-06-15 11:29:54 | INFO | LocalBooks API 服务关闭中...
2025-06-15 11:29:54 | INFO | LocalBooks API 服务关闭中...
2025-06-15 11:30:00 | INFO | LocalBooks API 服务启动中...
2025-06-15 11:30:00 | INFO | LocalBooks API 服务启动中...
2025-06-15 11:30:00 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 11:30:00 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 11:30:00 | INFO | 数据库初始化完成
2025-06-15 11:30:00 | INFO | 数据库初始化完成
2025-06-15 11:31:16 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 11:31:16 | ERROR | 搜索小说失败: 404: 规则不存在: 1
